id,Texture_sol,Couleur_sol,Type_irrigation,Hauteur_Eau,Niveau_Engrais,Temperature_Actuelle,Densite_Tilapia_Are
316,Limoneux,Brun-Grisatre,Irrigue (Continu),12,Moyen (Zezika Omby),froid,21
317,Sableux,Noiratre (Rich),Pluvial,16,Moyen (Zezika Omby),froid,21
318,Sableux,Orange / Rouge,Pluvial,6,Moyen (Zezika Omby),très chaud,11
319,Sableux,Brun-Grisatre,Irrigue (Continu),12,Fort (Zezika + NPK),tres froid,13
320,Limoneux,Brun-Grisatre,Pluvial,9,Nul,très chaud,31
321,Argileux (Madity),Brun-Grisatre,Pluvial,9,Fort (Zezika + NPK),tres froid,23
322,Limoneux,Brun-Grisatre,Pluvial,18,Nul,humide,11
323,Sableux,Noiratre (Rich),Irrigue (Continu),14,Nul,très chaud,31
324,Limoneux,Orange / Rouge,Irrigue (Continu),12,Fort (Zezika + NPK),humide,28
325,Limoneux,Orange / Rouge,Pluvial,6,Moyen (Zezika Omby),chaud,29
326,Limoneux,Noiratre (Rich),Irrigue (Continu),14,Fort (Zezika + NPK),tres froid,36
327,Sableux,Noiratre (Rich),Pluvial,11,Nul,froid,10
328,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),12,Moyen (Zezika Omby),humide,44
329,Argileux (Madity),Orange / Rouge,Pluvial,16,Nul,chaud,26
330,Argileux (Madity),Noiratre (Rich),Pluvial,7,Moyen (Zezika Omby),humide,23
331,Argileux (Madity),Orange / Rouge,Irrigue (Continu),11,Moyen (Zezika Omby),froid,28
332,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),16,Nul,très chaud,29
333,Sableux,Brun-Grisatre,Pluvial,8,Nul,froid,10
334,Sableux,Noiratre (Rich),Pluvial,7,Nul,froid,10
335,Limoneux,Brun-Grisatre,Irrigue (Continu),19,Fort (Zezika + NPK),humide,35
336,Sableux,Brun-Grisatre,Pluvial,6,Fort (Zezika + NPK),tres froid,10
337,Sableux,Noiratre (Rich),Pluvial,10,Fort (Zezika + NPK),humide,50
338,Sableux,Noiratre (Rich),Irrigue (Continu),13,Moyen (Zezika Omby),très chaud,29
339,Argileux (Madity),Orange / Rouge,Irrigue (Continu),10,Nul,chaud,22
340,Sableux,Orange / Rouge,Irrigue (Continu),8,Nul,très chaud,16
341,Limoneux,Orange / Rouge,Pluvial,15,Fort (Zezika + NPK),froid,22
342,Sableux,Noiratre (Rich),Irrigue (Continu),7,Nul,humide,18
343,Limoneux,Brun-Grisatre,Pluvial,10,Moyen (Zezika Omby),humide,31
344,Limoneux,Noiratre (Rich),Pluvial,20,Fort (Zezika + NPK),chaud,40
345,Limoneux,Brun-Grisatre,Irrigue (Continu),18,Moyen (Zezika Omby),chaud,47
346,Sableux,Brun-Grisatre,Irrigue (Continu),10,Fort (Zezika + NPK),chaud,50
347,Limoneux,Noiratre (Rich),Pluvial,8,Moyen (Zezika Omby),humide,30
348,Sableux,Orange / Rouge,Irrigue (Continu),17,Moyen (Zezika Omby),chaud,42
349,Limoneux,Orange / Rouge,Pluvial,16,Fort (Zezika + NPK),froid,29
350,Sableux,Orange / Rouge,Irrigue (Continu),20,Nul,humide,13
351,Limoneux,Brun-Grisatre,Pluvial,20,Fort (Zezika + NPK),très chaud,31
352,Sableux,Orange / Rouge,Pluvial,6,Fort (Zezika + NPK),froid,12
353,Argileux (Madity),Noiratre (Rich),Pluvial,19,Fort (Zezika + NPK),froid,30
354,Sableux,Orange / Rouge,Irrigue (Continu),6,Fort (Zezika + NPK),tres froid,13
355,Sableux,Orange / Rouge,Pluvial,7,Nul,chaud,10
356,Sableux,Orange / Rouge,Pluvial,6,Nul,très chaud,10
357,Limoneux,Brun-Grisatre,Irrigue (Continu),6,Fort (Zezika + NPK),froid,27
358,Limoneux,Brun-Grisatre,Irrigue (Continu),20,Moyen (Zezika Omby),tres froid,18
359,Sableux,Orange / Rouge,Irrigue (Continu),11,Fort (Zezika + NPK),chaud,34
360,Limoneux,Orange / Rouge,Pluvial,9,Fort (Zezika + NPK),tres froid,18
361,Limoneux,Orange / Rouge,Pluvial,17,Moyen (Zezika Omby),tres froid,14
362,Limoneux,Brun-Grisatre,Pluvial,19,Moyen (Zezika Omby),chaud,42
363,Limoneux,Brun-Grisatre,Pluvial,18,Fort (Zezika + NPK),humide,39
364,Argileux (Madity),Brun-Grisatre,Pluvial,7,Moyen (Zezika Omby),tres froid,16
365,Limoneux,Orange / Rouge,Pluvial,19,Nul,humide,10
366,Argileux (Madity),Orange / Rouge,Pluvial,20,Moyen (Zezika Omby),froid,27
367,Sableux,Orange / Rouge,Irrigue (Continu),16,Nul,tres froid,10
368,Sableux,Brun-Grisatre,Pluvial,9,Moyen (Zezika Omby),très chaud,18
369,Limoneux,Noiratre (Rich),Irrigue (Continu),12,Nul,humide,30
370,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),9,Nul,humide,26
371,Sableux,Noiratre (Rich),Irrigue (Continu),19,Fort (Zezika + NPK),froid,24
372,Limoneux,Noiratre (Rich),Pluvial,6,Nul,froid,15
373,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),18,Moyen (Zezika Omby),très chaud,41
374,Limoneux,Orange / Rouge,Pluvial,9,Moyen (Zezika Omby),chaud,37
375,Limoneux,Brun-Grisatre,Pluvial,20,Fort (Zezika + NPK),froid,31
376,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),13,Fort (Zezika + NPK),froid,41
377,Sableux,Brun-Grisatre,Pluvial,14,Nul,humide,15
378,Sableux,Orange / Rouge,Irrigue (Continu),5,Moyen (Zezika Omby),chaud,27
379,Limoneux,Noiratre (Rich),Irrigue (Continu),7,Fort (Zezika + NPK),froid,32
380,Argileux (Madity),Orange / Rouge,Irrigue (Continu),20,Fort (Zezika + NPK),chaud,50
381,Limoneux,Brun-Grisatre,Irrigue (Continu),15,Nul,très chaud,28
382,Limoneux,Orange / Rouge,Irrigue (Continu),20,Moyen (Zezika Omby),tres froid,30
383,Limoneux,Brun-Grisatre,Pluvial,6,Fort (Zezika + NPK),humide,14
384,Limoneux,Noiratre (Rich),Irrigue (Continu),18,Fort (Zezika + NPK),chaud,50
385,Limoneux,Orange / Rouge,Irrigue (Continu),11,Fort (Zezika + NPK),humide,29
386,Sableux,Noiratre (Rich),Irrigue (Continu),11,Moyen (Zezika Omby),tres froid,21
387,Sableux,Brun-Grisatre,Pluvial,14,Fort (Zezika + NPK),chaud,43
388,Limoneux,Orange / Rouge,Pluvial,20,Moyen (Zezika Omby),chaud,41
389,Sableux,Orange / Rouge,Irrigue (Continu),16,Fort (Zezika + NPK),tres froid,17
390,Limoneux,Brun-Grisatre,Irrigue (Continu),14,Moyen (Zezika Omby),tres froid,15
391,Argileux (Madity),Orange / Rouge,Irrigue (Continu),20,Moyen (Zezika Omby),froid,38
392,Limoneux,Noiratre (Rich),Pluvial,15,Nul,tres froid,21
393,Limoneux,Noiratre (Rich),Irrigue (Continu),12,Fort (Zezika + NPK),humide,36
394,Argileux (Madity),Brun-Grisatre,Pluvial,16,Moyen (Zezika Omby),humide,29
395,Limoneux,Brun-Grisatre,Irrigue (Continu),7,Nul,humide,17
396,Sableux,Orange / Rouge,Irrigue (Continu),13,Moyen (Zezika Omby),froid,28
397,Argileux (Madity),Orange / Rouge,Irrigue (Continu),18,Fort (Zezika + NPK),froid,45
398,Sableux,Brun-Grisatre,Irrigue (Continu),10,Fort (Zezika + NPK),chaud,44
399,Sableux,Noiratre (Rich),Pluvial,9,Moyen (Zezika Omby),humide,21
400,Sableux,Brun-Grisatre,Irrigue (Continu),14,Nul,froid,22
401,Limoneux,Brun-Grisatre,Irrigue (Continu),6,Fort (Zezika + NPK),très chaud,25
402,Limoneux,Brun-Grisatre,Irrigue (Continu),17,Moyen (Zezika Omby),froid,30
403,Limoneux,Noiratre (Rich),Irrigue (Continu),7,Nul,tres froid,10
404,Argileux (Madity),Noiratre (Rich),Pluvial,6,Fort (Zezika + NPK),très chaud,29
405,Sableux,Brun-Grisatre,Pluvial,9,Fort (Zezika + NPK),chaud,37
406,Limoneux,Orange / Rouge,Pluvial,11,Fort (Zezika + NPK),chaud,37
407,Sableux,Noiratre (Rich),Pluvial,9,Fort (Zezika + NPK),chaud,22
408,Limoneux,Noiratre (Rich),Pluvial,7,Fort (Zezika + NPK),tres froid,10
409,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),20,Nul,tres froid,29
410,Sableux,Brun-Grisatre,Irrigue (Continu),6,Nul,froid,10
411,Argileux (Madity),Noiratre (Rich),Pluvial,9,Moyen (Zezika Omby),chaud,48
412,Sableux,Noiratre (Rich),Irrigue (Continu),7,Moyen (Zezika Omby),froid,24
413,Sableux,Orange / Rouge,Pluvial,6,Moyen (Zezika Omby),froid,10
414,Argileux (Madity),Orange / Rouge,Pluvial,17,Moyen (Zezika Omby),très chaud,22
415,Sableux,Orange / Rouge,Irrigue (Continu),9,Nul,très chaud,14
416,Argileux (Madity),Brun-Grisatre,Pluvial,9,Nul,froid,18
417,Limoneux,Orange / Rouge,Pluvial,9,Nul,tres froid,10
418,Argileux (Madity),Brun-Grisatre,Pluvial,11,Fort (Zezika + NPK),très chaud,18
419,Sableux,Orange / Rouge,Pluvial,14,Moyen (Zezika Omby),chaud,27
420,Sableux,Orange / Rouge,Pluvial,12,Nul,froid,10
421,Sableux,Noiratre (Rich),Pluvial,10,Moyen (Zezika Omby),très chaud,28
422,Sableux,Noiratre (Rich),Irrigue (Continu),10,Moyen (Zezika Omby),tres froid,20
423,Limoneux,Brun-Grisatre,Pluvial,12,Moyen (Zezika Omby),très chaud,28
424,Limoneux,Brun-Grisatre,Irrigue (Continu),10,Nul,humide,27
425,Sableux,Noiratre (Rich),Pluvial,5,Moyen (Zezika Omby),chaud,28
426,Sableux,Brun-Grisatre,Irrigue (Continu),20,Fort (Zezika + NPK),tres froid,27
427,Sableux,Orange / Rouge,Pluvial,8,Nul,tres froid,10
428,Limoneux,Orange / Rouge,Pluvial,5,Nul,tres froid,10
429,Sableux,Noiratre (Rich),Irrigue (Continu),5,Moyen (Zezika Omby),froid,10
430,Limoneux,Noiratre (Rich),Irrigue (Continu),10,Fort (Zezika + NPK),très chaud,32
431,Sableux,Brun-Grisatre,Pluvial,11,Nul,chaud,14
432,Limoneux,Brun-Grisatre,Irrigue (Continu),19,Fort (Zezika + NPK),très chaud,36
433,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),18,Fort (Zezika + NPK),froid,36
434,Limoneux,Noiratre (Rich),Irrigue (Continu),15,Nul,humide,33
435,Sableux,Orange / Rouge,Irrigue (Continu),13,Moyen (Zezika Omby),humide,24
436,Sableux,Noiratre (Rich),Irrigue (Continu),10,Nul,très chaud,12
437,Argileux (Madity),Orange / Rouge,Pluvial,12,Nul,tres froid,10
438,Sableux,Orange / Rouge,Pluvial,8,Nul,chaud,10
439,Limoneux,Noiratre (Rich),Pluvial,19,Moyen (Zezika Omby),froid,50
440,Limoneux,Brun-Grisatre,Pluvial,17,Fort (Zezika + NPK),chaud,44
441,Sableux,Brun-Grisatre,Irrigue (Continu),13,Fort (Zezika + NPK),chaud,38
442,Sableux,Orange / Rouge,Pluvial,5,Nul,chaud,10
443,Argileux (Madity),Orange / Rouge,Pluvial,7,Moyen (Zezika Omby),chaud,34
444,Argileux (Madity),Noiratre (Rich),Pluvial,5,Nul,tres froid,47
445,Sableux,Brun-Grisatre,Pluvial,13,Nul,tres froid,10
446,Sableux,Noiratre (Rich),Irrigue (Continu),9,Fort (Zezika + NPK),froid,24
447,Limoneux,Orange / Rouge,Pluvial,19,Fort (Zezika + NPK),chaud,46
448,Limoneux,Noiratre (Rich),Irrigue (Continu),14,Moyen (Zezika Omby),tres froid,23
449,Sableux,Orange / Rouge,Irrigue (Continu),10,Nul,humide,11
450,Sableux,Brun-Grisatre,Irrigue (Continu),8,Nul,froid,10
451,Sableux,Noiratre (Rich),Pluvial,5,Fort (Zezika + NPK),tres froid,10
452,Limoneux,Brun-Grisatre,Pluvial,6,Fort (Zezika + NPK),très chaud,13
453,Limoneux,Orange / Rouge,Irrigue (Continu),13,Fort (Zezika + NPK),très chaud,45
454,Limoneux,Brun-Grisatre,Pluvial,13,Nul,humide,15
455,Sableux,Noiratre (Rich),Irrigue (Continu),10,Moyen (Zezika Omby),très chaud,23
456,Sableux,Noiratre (Rich),Pluvial,15,Fort (Zezika + NPK),très chaud,42
457,Sableux,Brun-Grisatre,Irrigue (Continu),14,Fort (Zezika + NPK),humide,28
458,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),12,Moyen (Zezika Omby),froid,44
459,Argileux (Madity),Orange / Rouge,Pluvial,11,Fort (Zezika + NPK),chaud,43
460,Limoneux,Brun-Grisatre,Irrigue (Continu),20,Nul,chaud,38
461,Limoneux,Noiratre (Rich),Irrigue (Continu),19,Nul,froid,29
462,Sableux,Brun-Grisatre,Pluvial,13,Nul,froid,14
463,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),10,Moyen (Zezika Omby),tres froid,23
464,Limoneux,Noiratre (Rich),Irrigue (Continu),18,Fort (Zezika + NPK),chaud,50
465,Limoneux,Noiratre (Rich),Irrigue (Continu),18,Nul,humide,41
466,Argileux (Madity),Orange / Rouge,Pluvial,14,Moyen (Zezika Omby),froid,30
467,Sableux,Noiratre (Rich),Pluvial,14,Nul,tres froid,10
468,Limoneux,Orange / Rouge,Irrigue (Continu),14,Fort (Zezika + NPK),très chaud,41
469,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),14,Moyen (Zezika Omby),tres froid,34
470,Limoneux,Brun-Grisatre,Pluvial,18,Moyen (Zezika Omby),chaud,40
471,Limoneux,Orange / Rouge,Pluvial,20,Nul,froid,11
472,Argileux (Madity),Noiratre (Rich),Pluvial,6,Fort (Zezika + NPK),tres froid,24
473,Limoneux,Brun-Grisatre,Pluvial,6,Nul,chaud,21
474,Argileux (Madity),Brun-Grisatre,Pluvial,7,Moyen (Zezika Omby),froid,26
475,Limoneux,Brun-Grisatre,Irrigue (Continu),9,Nul,humide,24
476,Limoneux,Noiratre (Rich),Pluvial,16,Moyen (Zezika Omby),tres froid,28
477,Limoneux,Noiratre (Rich),Pluvial,12,Fort (Zezika + NPK),froid,28
478,Limoneux,Brun-Grisatre,Pluvial,16,Nul,froid,16
479,Sableux,Noiratre (Rich),Irrigue (Continu),20,Nul,chaud,40
480,Limoneux,Orange / Rouge,Irrigue (Continu),20,Moyen (Zezika Omby),froid,24
481,Argileux (Madity),Orange / Rouge,Irrigue (Continu),20,Nul,froid,25
482,Limoneux,Orange / Rouge,Irrigue (Continu),11,Moyen (Zezika Omby),humide,37
483,Sableux,Noiratre (Rich),Pluvial,8,Moyen (Zezika Omby),froid,13
484,Limoneux,Noiratre (Rich),Pluvial,11,Fort (Zezika + NPK),froid,29
485,Sableux,Orange / Rouge,Irrigue (Continu),15,Nul,chaud,18
486,Sableux,Orange / Rouge,Pluvial,15,Fort (Zezika + NPK),humide,24
487,Limoneux,Noiratre (Rich),Irrigue (Continu),13,Moyen (Zezika Omby),très chaud,34
488,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),14,Moyen (Zezika Omby),tres froid,31
489,Argileux (Madity),Noiratre (Rich),Pluvial,16,Fort (Zezika + NPK),très chaud,39
490,Argileux (Madity),Brun-Grisatre,Pluvial,7,Fort (Zezika + NPK),chaud,34
491,Argileux (Madity),Orange / Rouge,Irrigue (Continu),15,Moyen (Zezika Omby),chaud,50
492,Limoneux,Orange / Rouge,Pluvial,11,Fort (Zezika + NPK),chaud,33
493,Limoneux,Brun-Grisatre,Pluvial,10,Fort (Zezika + NPK),chaud,37
494,Sableux,Noiratre (Rich),Pluvial,14,Fort (Zezika + NPK),chaud,30
495,Limoneux,Orange / Rouge,Irrigue (Continu),13,Fort (Zezika + NPK),chaud,50
496,Sableux,Noiratre (Rich),Irrigue (Continu),16,Nul,très chaud,31
497,Limoneux,Noiratre (Rich),Pluvial,19,Nul,très chaud,23
498,Limoneux,Noiratre (Rich),Irrigue (Continu),16,Nul,froid,34
499,Argileux (Madity),Orange / Rouge,Pluvial,20,Nul,très chaud,26
500,Limoneux,Brun-Grisatre,Irrigue (Continu),13,Fort (Zezika + NPK),tres froid,34
501,Limoneux,Brun-Grisatre,Irrigue (Continu),15,Fort (Zezika + NPK),tres froid,34
502,Limoneux,Noiratre (Rich),Irrigue (Continu),10,Moyen (Zezika Omby),très chaud,34
503,Limoneux,Orange / Rouge,Pluvial,10,Nul,très chaud,15
504,Argileux (Madity),Orange / Rouge,Irrigue (Continu),9,Moyen (Zezika Omby),tres froid,35
505,Argileux (Madity),Orange / Rouge,Irrigue (Continu),17,Moyen (Zezika Omby),très chaud,36
506,Sableux,Brun-Grisatre,Irrigue (Continu),19,Moyen (Zezika Omby),humide,38
507,Limoneux,Orange / Rouge,Pluvial,17,Nul,chaud,23
508,Sableux,Noiratre (Rich),Pluvial,15,Nul,tres froid,10
509,Sableux,Noiratre (Rich),Irrigue (Continu),20,Nul,froid,30
510,Sableux,Orange / Rouge,Pluvial,10,Moyen (Zezika Omby),très chaud,24
511,Argileux (Madity),Orange / Rouge,Pluvial,8,Fort (Zezika + NPK),humide,30
512,Limoneux,Orange / Rouge,Pluvial,15,Nul,humide,16
513,Argileux (Madity),Brun-Grisatre,Pluvial,9,Fort (Zezika + NPK),humide,31
514,Sableux,Orange / Rouge,Pluvial,16,Nul,très chaud,10
515,Limoneux,Orange / Rouge,Pluvial,20,Fort (Zezika + NPK),tres froid,39
516,Limoneux,Brun-Grisatre,Pluvial,11,Fort (Zezika + NPK),froid,20
517,Limoneux,Noiratre (Rich),Pluvial,20,Nul,froid,25
518,Limoneux,Noiratre (Rich),Pluvial,7,Nul,humide,12
519,Sableux,Brun-Grisatre,Pluvial,16,Moyen (Zezika Omby),humide,27
520,Limoneux,Orange / Rouge,Pluvial,10,Fort (Zezika + NPK),froid,23
521,Argileux (Madity),Noiratre (Rich),Pluvial,14,Fort (Zezika + NPK),froid,42
522,Argileux (Madity),Noiratre (Rich),Pluvial,12,Nul,chaud,40
523,Argileux (Madity),Orange / Rouge,Pluvial,18,Nul,chaud,30
524,Argileux (Madity),Orange / Rouge,Irrigue (Continu),11,Nul,tres froid,10
525,Argileux (Madity),Orange / Rouge,Pluvial,16,Moyen (Zezika Omby),chaud,35
526,Sableux,Noiratre (Rich),Pluvial,11,Moyen (Zezika Omby),humide,21
527,Limoneux,Noiratre (Rich),Irrigue (Continu),19,Fort (Zezika + NPK),chaud,49
528,Limoneux,Orange / Rouge,Pluvial,13,Moyen (Zezika Omby),humide,23
529,Sableux,Brun-Grisatre,Irrigue (Continu),11,Moyen (Zezika Omby),humide,18
530,Argileux (Madity),Brun-Grisatre,Pluvial,16,Moyen (Zezika Omby),très chaud,34
531,Sableux,Brun-Grisatre,Pluvial,9,Nul,très chaud,10
532,Argileux (Madity),Orange / Rouge,Irrigue (Continu),10,Moyen (Zezika Omby),froid,36
533,Sableux,Brun-Grisatre,Irrigue (Continu),19,Nul,humide,16
534,Sableux,Noiratre (Rich),Pluvial,12,Moyen (Zezika Omby),froid,16
535,Argileux (Madity),Brun-Grisatre,Pluvial,6,Moyen (Zezika Omby),humide,20
536,Sableux,Noiratre (Rich),Irrigue (Continu),15,Nul,tres froid,18
537,Argileux (Madity),Orange / Rouge,Irrigue (Continu),20,Moyen (Zezika Omby),humide,41
538,Limoneux,Noiratre (Rich),Irrigue (Continu),10,Nul,humide,28
539,Argileux (Madity),Orange / Rouge,Irrigue (Continu),20,Fort (Zezika + NPK),chaud,50
540,Limoneux,Orange / Rouge,Pluvial,19,Fort (Zezika + NPK),très chaud,26
541,Argileux (Madity),Orange / Rouge,Pluvial,9,Moyen (Zezika Omby),froid,25
542,Sableux,Brun-Grisatre,Irrigue (Continu),13,Nul,chaud,23
543,Sableux,Noiratre (Rich),Irrigue (Continu),19,Nul,humide,31
544,Sableux,Brun-Grisatre,Irrigue (Continu),7,Fort (Zezika + NPK),très chaud,25
545,Argileux (Madity),Orange / Rouge,Pluvial,9,Fort (Zezika + NPK),chaud,35
546,Limoneux,Brun-Grisatre,Pluvial,19,Fort (Zezika + NPK),humide,28
547,Limoneux,Noiratre (Rich),Irrigue (Continu),10,Nul,très chaud,33
548,Limoneux,Brun-Grisatre,Pluvial,10,Fort (Zezika + NPK),humide,32
549,Sableux,Brun-Grisatre,Irrigue (Continu),11,Moyen (Zezika Omby),chaud,34
550,Limoneux,Noiratre (Rich),Pluvial,9,Moyen (Zezika Omby),tres froid,16
551,Sableux,Noiratre (Rich),Pluvial,16,Fort (Zezika + NPK),chaud,33
552,Argileux (Madity),Orange / Rouge,Irrigue (Continu),13,Nul,humide,24
553,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),18,Moyen (Zezika Omby),très chaud,45
554,Limoneux,Brun-Grisatre,Irrigue (Continu),19,Moyen (Zezika Omby),chaud,50
555,Argileux (Madity),Orange / Rouge,Irrigue (Continu),13,Moyen (Zezika Omby),très chaud,11
556,Sableux,Brun-Grisatre,Pluvial,7,Fort (Zezika + NPK),froid,10
557,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),14,Fort (Zezika + NPK),tres froid,36
558,Sableux,Noiratre (Rich),Pluvial,13,Fort (Zezika + NPK),tres froid,18
559,Argileux (Madity),Noiratre (Rich),Pluvial,13,Nul,chaud,30
560,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),17,Moyen (Zezika Omby),chaud,38
561,Limoneux,Brun-Grisatre,Pluvial,16,Moyen (Zezika Omby),humide,31
562,Sableux,Brun-Grisatre,Irrigue (Continu),13,Nul,humide,21
563,Limoneux,Orange / Rouge,Pluvial,13,Fort (Zezika + NPK),très chaud,23
564,Sableux,Noiratre (Rich),Pluvial,9,Moyen (Zezika Omby),humide,20
565,Sableux,Brun-Grisatre,Pluvial,13,Nul,chaud,22
566,Argileux (Madity),Orange / Rouge,Irrigue (Continu),14,Fort (Zezika + NPK),froid,34
567,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),10,Fort (Zezika + NPK),tres froid,35
568,Limoneux,Brun-Grisatre,Irrigue (Continu),7,Fort (Zezika + NPK),froid,48
569,Limoneux,Brun-Grisatre,Pluvial,13,Moyen (Zezika Omby),froid,27
570,Limoneux,Orange / Rouge,Irrigue (Continu),5,Moyen (Zezika Omby),chaud,33
571,Argileux (Madity),Orange / Rouge,Irrigue (Continu),11,Nul,froid,16
572,Limoneux,Noiratre (Rich),Irrigue (Continu),11,Moyen (Zezika Omby),très chaud,11
573,Argileux (Madity),Orange / Rouge,Irrigue (Continu),19,Fort (Zezika + NPK),très chaud,50
574,Argileux (Madity),Brun-Grisatre,Pluvial,10,Moyen (Zezika Omby),très chaud,42
575,Argileux (Madity),Noiratre (Rich),Pluvial,6,Nul,très chaud,13
576,Argileux (Madity),Noiratre (Rich),Pluvial,14,Fort (Zezika + NPK),très chaud,46
577,Limoneux,Brun-Grisatre,Irrigue (Continu),6,Moyen (Zezika Omby),tres froid,48
578,Sableux,Brun-Grisatre,Irrigue (Continu),5,Nul,humide,10
579,Limoneux,Orange / Rouge,Irrigue (Continu),13,Nul,humide,27
580,Argileux (Madity),Noiratre (Rich),Pluvial,18,Moyen (Zezika Omby),froid,35
581,Sableux,Noiratre (Rich),Pluvial,7,Moyen (Zezika Omby),tres froid,10
582,Limoneux,Brun-Grisatre,Irrigue (Continu),16,Fort (Zezika + NPK),tres froid,32
583,Limoneux,Noiratre (Rich),Irrigue (Continu),6,Moyen (Zezika Omby),tres froid,23
584,Limoneux,Brun-Grisatre,Pluvial,6,Fort (Zezika + NPK),froid,12
585,Argileux (Madity),Noiratre (Rich),Pluvial,6,Fort (Zezika + NPK),très chaud,31
586,Limoneux,Orange / Rouge,Pluvial,11,Moyen (Zezika Omby),très chaud,22
587,Argileux (Madity),Orange / Rouge,Irrigue (Continu),14,Moyen (Zezika Omby),froid,48
588,Sableux,Orange / Rouge,Irrigue (Continu),7,Moyen (Zezika Omby),chaud,31
589,Sableux,Orange / Rouge,Irrigue (Continu),16,Moyen (Zezika Omby),tres froid,22
590,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),14,Fort (Zezika + NPK),froid,37
591,Argileux (Madity),Brun-Grisatre,Pluvial,9,Moyen (Zezika Omby),très chaud,27
592,Limoneux,Noiratre (Rich),Irrigue (Continu),17,Nul,très chaud,33
593,Sableux,Noiratre (Rich),Irrigue (Continu),19,Nul,très chaud,29
594,Limoneux,Orange / Rouge,Pluvial,11,Moyen (Zezika Omby),très chaud,19
595,Sableux,Brun-Grisatre,Irrigue (Continu),9,Nul,très chaud,14
596,Sableux,Brun-Grisatre,Pluvial,8,Fort (Zezika + NPK),très chaud,10
597,Limoneux,Brun-Grisatre,Pluvial,7,Moyen (Zezika Omby),froid,20
598,Argileux (Madity),Noiratre (Rich),Pluvial,5,Moyen (Zezika Omby),froid,21
599,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),15,Nul,tres froid,22
600,Argileux (Madity),Orange / Rouge,Irrigue (Continu),13,Moyen (Zezika Omby),froid,30
601,Sableux,Noiratre (Rich),Irrigue (Continu),15,Fort (Zezika + NPK),tres froid,30
602,Limoneux,Brun-Grisatre,Irrigue (Continu),6,Nul,humide,22
603,Sableux,Noiratre (Rich),Pluvial,13,Moyen (Zezika Omby),froid,48
604,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),11,Nul,humide,27
605,Argileux (Madity),Orange / Rouge,Pluvial,7,Fort (Zezika + NPK),froid,18
606,Argileux (Madity),Orange / Rouge,Pluvial,6,Moyen (Zezika Omby),chaud,38
607,Limoneux,Brun-Grisatre,Pluvial,19,Fort (Zezika + NPK),très chaud,29
608,Sableux,Noiratre (Rich),Irrigue (Continu),15,Nul,tres froid,21
609,Sableux,Noiratre (Rich),Pluvial,9,Fort (Zezika + NPK),humide,27
610,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),12,Fort (Zezika + NPK),tres froid,28
611,Limoneux,Brun-Grisatre,Pluvial,11,Nul,humide,16
612,Sableux,Brun-Grisatre,Irrigue (Continu),11,Moyen (Zezika Omby),chaud,37
613,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),19,Moyen (Zezika Omby),froid,31
614,Sableux,Noiratre (Rich),Irrigue (Continu),6,Nul,froid,14
615,Sableux,Orange / Rouge,Pluvial,8,Fort (Zezika + NPK),très chaud,23
616,Sableux,Brun-Grisatre,Irrigue (Continu),13,Fort (Zezika + NPK),très chaud,27
617,Sableux,Orange / Rouge,Pluvial,9,Moyen (Zezika Omby),chaud,25
618,Limoneux,Brun-Grisatre,Irrigue (Continu),8,Moyen (Zezika Omby),froid,34
619,Sableux,Noiratre (Rich),Irrigue (Continu),14,Moyen (Zezika Omby),chaud,50
620,Sableux,Brun-Grisatre,Irrigue (Continu),12,Nul,humide,18
621,Limoneux,Brun-Grisatre,Irrigue (Continu),10,Moyen (Zezika Omby),tres froid,16
622,Limoneux,Orange / Rouge,Irrigue (Continu),18,Moyen (Zezika Omby),froid,36
623,Limoneux,Brun-Grisatre,Irrigue (Continu),17,Nul,très chaud,17
624,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),9,Nul,humide,40
625,Argileux (Madity),Noiratre (Rich),Pluvial,9,Fort (Zezika + NPK),froid,38
626,Argileux (Madity),Brun-Grisatre,Pluvial,10,Moyen (Zezika Omby),tres froid,20
627,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),13,Nul,humide,34
628,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),11,Moyen (Zezika Omby),froid,20
629,Argileux (Madity),Noiratre (Rich),Pluvial,13,Moyen (Zezika Omby),chaud,44
